,fi,ru,sv,en,es,it,ar,ja,nds,tr,fr,zh,de,pl,ko,pt,la,uk,et,vi,da,th,eo,no,nl,fa,ca,hu,cs,lv,he,id,lt,el,lang_count,park_id,users,posts
9238,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9238,2,2
9242,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9242,14,26
9309,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9309,4,4
9371,224.0,2.0,12.0,9.0,4.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,9,9371,116,261
9427,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9427,11,14
9433,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9433,2,2
9435,7.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,4,9435,8,10
9482,658.0,30.0,49.0,97.0,21.0,6.0,1.0,4.0,,4.0,10.0,9.0,7.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,21,9482,595,920
9495,263.0,2.0,3.0,15.0,,2.0,1.0,,,,6.0,,2.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,10,9495,78,297
9497,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9497,4,4
9499,32.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,4,9499,16,39
9500,142.0,5.0,5.0,4.0,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,7,9500,71,160
9542,408.0,5.0,36.0,26.0,,5.0,,1.0,,,1.0,,2.0,,5.0,,,,3.0,,,,,,,,,,,,,,,,10,9542,233,495
9543,238.0,4.0,9.0,31.0,,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,6,9543,166,289
9557,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9557,5,6
9558,11.0,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,4,9558,13,15
9654,131.0,8.0,5.0,20.0,4.0,4.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,9,9654,136,176
9655,50.0,,3.0,5.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,5,9655,35,61
9700,46.0,,2.0,5.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,5,9700,29,56
9701,11.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9701,15,15
9703,6.0,,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9703,9,12
9705,11.0,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9705,12,15
9743,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9743,1,1
9748,35.0,,1.0,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4,9748,28,41
9825,13.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9825,15,18
9875,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9875,2,4
9905,111.0,1.0,6.0,8.0,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,9,9905,62,132
9911,34.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9911,18,37
9912,192.0,1.0,32.0,19.0,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,7,9912,170,251
9913,7.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9913,4,10
9914,67.0,12.0,3.0,9.0,3.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,6,9914,63,99
9930,250.0,11.0,21.0,30.0,2.0,1.0,1.0,2.0,,,6.0,1.0,2.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,14,9930,232,333
9931,133.0,10.0,6.0,7.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,5,9931,91,159
9932,80.0,1.0,2.0,10.0,,,,,,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,7,9932,80,99
9958,174.0,4.0,4.0,27.0,2.0,2.0,,,,,4.0,,1.0,,,3.0,,,,,,,,,1.0,,,,,,,,,,10,9958,165,222
9959,29.0,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,3,9959,17,33
9987,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9987,2,2
10010,2699.0,116.0,87.0,515.0,54.0,29.0,3.0,37.0,1.0,8.0,29.0,4.0,32.0,7.0,6.0,34.0,,,8.0,2.0,8.0,5.0,3.0,5.0,3.0,,6.0,4.0,2.0,,,,,,26,10010,2283,3777
10015,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10015,1,1
10042,2077.0,271.0,86.0,475.0,44.0,25.0,4.0,29.0,3.0,8.0,34.0,22.0,17.0,4.0,20.0,21.0,9.0,2.0,11.0,,6.0,3.0,1.0,2.0,3.0,1.0,,3.0,,3.0,2.0,1.0,,,29,10042,2160,3252
10043,672.0,90.0,30.0,126.0,12.0,3.0,,1.0,,1.0,14.0,,5.0,2.0,,9.0,1.0,,2.0,,,,3.0,,,,1.0,,,,,,,,16,10043,665,985
10044,233.0,13.0,9.0,21.0,2.0,,,1.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,8,10044,235,285
10046,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10046,2,13
10064,160.0,13.0,21.0,29.0,4.0,1.0,,,,,2.0,,,,,,2.0,,,,,,2.0,,1.0,,,1.0,,,,,,,11,10064,192,239
10071,191.0,7.0,10.0,28.0,3.0,3.0,,5.0,,,1.0,,4.0,1.0,,2.0,,1.0,,,,,,,,,,2.0,,,,,,,13,10071,212,259
